Date,Site,Count,match,Year
2019-01-09,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-09,South Mountain-Holbert Trail,81.0,South Mountain,2019
2019-01-09,South Mountain-Judith Tunell Trail,44.0,South Mountain,2019
2019-01-09,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-09,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-09,South Mountain-Mormon Trail,383.0,South Mountain,2019
2019-01-09,South Mountain-Pima Dirt Rd. ,701.0,South Mountain,2019
2019-01-09,South Mountain-Pima West Loop,372.0,South Mountain,2019
2019-01-09,South Mountain-Telegraph Pass Trail,209.0,South Mountain,2019
2019-01-10,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-10,E - Camelback - Echo Canyon Trail,864.0,Echo Canyon Camelback Mountain,2019
2019-01-10,E - PMP - Piestewa Summit Trail,981.0,Piestewa Peak,2019
2019-01-10,N - 25th St. and Acoma-Shadow Mtn N,30.0,Shadow Mountain,2019
2019-01-10,N - Deem Hills - East - 39th Ave TH,113.0,Deem Hills,2019
2019-01-10,N - Deem Hills - West - 51st Ave TH,99.0,Deem Hills,2019
2019-01-10,N - Lookout Mountain - 306 - North Side TH,489.0,Lookout Mountain,2019
2019-01-10,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-10,South Mountain- Desert Classic Trail,210.0,South Mountain,2019
2019-01-10,South Mountain-620 Trailhead,123.0,South Mountain,2019
2019-01-10,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-10,South Mountain-Holbert Trail,89.0,South Mountain,2019
2019-01-10,South Mountain-Judith Tunell Trail,34.0,South Mountain,2019
2019-01-10,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-10,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-10,South Mountain-Mormon Trail,358.0,South Mountain,2019
2019-01-10,South Mountain-Pima Dirt Rd. ,596.0,South Mountain,2019
2019-01-10,South Mountain-Pima West Loop,410.0,South Mountain,2019
2019-01-10,South Mountain-Telegraph Pass Trail,202.0,South Mountain,2019
2019-01-11,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-11,E - Camelback - Echo Canyon Trail,859.0,Echo Canyon Camelback Mountain,2019
2019-01-11,E - PMP - Piestewa Summit Trail,975.0,Piestewa Peak,2019
2019-01-11,N - 25th St. and Acoma-Shadow Mtn N,35.0,Shadow Mountain,2019
2019-01-11,N - Deem Hills - East - 39th Ave TH,127.0,Deem Hills,2019
2019-01-11,N - Deem Hills - West - 51st Ave TH,109.0,Deem Hills,2019
2019-01-11,N - Lookout Mountain - 306 - North Side TH,448.0,Lookout Mountain,2019
2019-01-11,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-11,South Mountain- Desert Classic Trail,314.0,South Mountain,2019
2019-01-11,South Mountain-620 Trailhead,101.0,South Mountain,2019
2019-01-11,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-11,South Mountain-Holbert Trail,76.0,South Mountain,2019
2019-01-11,South Mountain-Judith Tunell Trail,87.0,South Mountain,2019
2019-01-11,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-11,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-11,South Mountain-Mormon Trail,363.0,South Mountain,2019
2019-01-11,South Mountain-Pima Dirt Rd. ,758.0,South Mountain,2019
2019-01-11,South Mountain-Pima West Loop,484.0,South Mountain,2019
2019-01-11,South Mountain-Telegraph Pass Trail,211.0,South Mountain,2019
2019-01-12,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-12,E - Camelback - Echo Canyon Trail,1314.0,Echo Canyon Camelback Mountain,2019
2019-01-12,E - PMP - Piestewa Summit Trail,1537.0,Piestewa Peak,2019
2019-01-12,N - 25th St. and Acoma-Shadow Mtn N,59.0,Shadow Mountain,2019
2019-01-12,N - Deem Hills - East - 39th Ave TH,180.0,Deem Hills,2019
2019-01-12,N - Deem Hills - West - 51st Ave TH,227.0,Deem Hills,2019
2019-01-12,N - Lookout Mountain - 306 - North Side TH,721.0,Lookout Mountain,2019
2019-01-12,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-12,South Mountain- Desert Classic Trail,420.0,South Mountain,2019
2019-01-12,South Mountain-620 Trailhead,263.0,South Mountain,2019
2019-01-12,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-12,South Mountain-Holbert Trail,261.0,South Mountain,2019
2019-01-12,South Mountain-Judith Tunell Trail,94.0,South Mountain,2019
2019-01-12,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-12,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-12,South Mountain-Mormon Trail,1284.0,South Mountain,2019
2019-01-12,South Mountain-Pima Dirt Rd. ,1565.0,South Mountain,2019
2019-01-12,South Mountain-Pima West Loop,1037.0,South Mountain,2019
2019-01-12,South Mountain-Telegraph Pass Trail,365.0,South Mountain,2019
2019-01-13,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-13,E - Camelback - Echo Canyon Trail,1044.0,Echo Canyon Camelback Mountain,2019
2019-01-13,E - PMP - Piestewa Summit Trail,1391.0,Piestewa Peak,2019
2019-01-13,N - 25th St. and Acoma-Shadow Mtn N,82.0,Shadow Mountain,2019
2019-01-13,N - Deem Hills - East - 39th Ave TH,123.0,Deem Hills,2019
2019-01-13,N - Deem Hills - West - 51st Ave TH,191.0,Deem Hills,2019
2019-01-13,N - Lookout Mountain - 306 - North Side TH,748.0,Lookout Mountain,2019
2019-01-13,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-13,South Mountain- Desert Classic Trail,474.0,South Mountain,2019
2019-01-13,South Mountain-620 Trailhead,208.0,South Mountain,2019
2019-01-13,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-13,South Mountain-Holbert Trail,308.0,South Mountain,2019
2019-01-13,South Mountain-Judith Tunell Trail,75.0,South Mountain,2019
2019-01-13,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-13,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-13,South Mountain-Mormon Trail,1022.0,South Mountain,2019
2019-01-13,South Mountain-Pima Dirt Rd. ,1479.0,South Mountain,2019
2019-01-13,South Mountain-Pima West Loop,840.0,South Mountain,2019
2019-01-13,South Mountain-Telegraph Pass Trail,398.0,South Mountain,2019
2019-01-14,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-14,E - Camelback - Echo Canyon Trail,807.0,Echo Canyon Camelback Mountain,2019
2019-01-14,E - PMP - Piestewa Summit Trail,848.0,Piestewa Peak,2019
2019-01-14,N - 25th St. and Acoma-Shadow Mtn N,,Shadow Mountain,2019
2019-01-14,N - Deem Hills - East - 39th Ave TH,90.0,Deem Hills,2019
2019-01-14,N - Deem Hills - West - 51st Ave TH,90.0,Deem Hills,2019
2019-01-14,N - Lookout Mountain - 306 - North Side TH,,Lookout Mountain,2019
2019-01-14,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-14,South Mountain- Desert Classic Trail,227.0,South Mountain,2019
2019-01-14,South Mountain-620 Trailhead,86.0,South Mountain,2019
2019-01-14,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-14,South Mountain-Holbert Trail,92.0,South Mountain,2019
2019-01-14,South Mountain-Judith Tunell Trail,53.0,South Mountain,2019
2019-01-14,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-14,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-14,South Mountain-Mormon Trail,358.0,South Mountain,2019
2019-01-14,South Mountain-Pima Dirt Rd. ,618.0,South Mountain,2019
2019-01-14,South Mountain-Pima West Loop,408.0,South Mountain,2019
2019-01-14,South Mountain-Telegraph Pass Trail,219.0,South Mountain,2019
2019-01-15,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-15,E - Camelback - Echo Canyon Trail,393.0,Echo Canyon Camelback Mountain,2019
2019-01-15,E - PMP - Piestewa Summit Trail,474.0,Piestewa Peak,2019
2019-01-15,N - 25th St. and Acoma-Shadow Mtn N,,Shadow Mountain,2019
2019-01-15,N - Deem Hills - East - 39th Ave TH,38.0,Deem Hills,2019
2019-01-15,N - Deem Hills - West - 51st Ave TH,0.0,Deem Hills,2019
2019-01-15,N - Lookout Mountain - 306 - North Side TH,,Lookout Mountain,2019
2019-01-15,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-15,South Mountain- Desert Classic Trail,175.0,South Mountain,2019
2019-01-15,South Mountain-620 Trailhead,61.0,South Mountain,2019
2019-01-15,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-15,South Mountain-Holbert Trail,41.0,South Mountain,2019
2019-01-15,South Mountain-Judith Tunell Trail,10.0,South Mountain,2019
2019-01-15,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-15,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-15,South Mountain-Mormon Trail,196.0,South Mountain,2019
2019-01-15,South Mountain-Pima Dirt Rd. ,466.0,South Mountain,2019
2019-01-15,South Mountain-Pima West Loop,269.0,South Mountain,2019
2019-01-15,South Mountain-Telegraph Pass Trail,139.0,South Mountain,2019
2019-01-16,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-16,E - Camelback - Echo Canyon Trail,672.0,Echo Canyon Camelback Mountain,2019
2019-01-16,E - PMP - Piestewa Summit Trail,883.0,Piestewa Peak,2019
